,niño1,niño2,niña3,niña4,niña5,niño6,niña7,niña8,niño9,niña10
 Democrático,86,79,77,87,82,84,77,77,80,78
Autoritario,35,39,50,36,45,43,35,28,44,47
Permisivo,33,51,25,43,43,36,36,32,49,47
