,niño1,niño2,niña3,niña4,niña5,niño6,niña7,niña8,niño9,niña10
Asertivo,18.0,11.0,12.0,3.0,9.0,2.0,4.0,10.0,11.0,5.0
Pasivo,8.0,11.0,13.0,6.0,4.0,10.0,16.0,7.0,19.0,5.0
Agresivo,5.0,13.0,12.0,35.0,25.0,34.0,20.0,17.0,6.0,32.0
Percentil_Asertivo,60.0,25.0,8.714285714285715,1.0,4.857142857142858,1.0,1.0,6.142857142857143,25.0,1.0
Percentil_Pasivo,66.66666666666667,80.0,99.0,80.0,70.0,75.0,99.03448275862068,83.33333333333333,96.75,75.0
Percentil_Agresivo,30.0,70.0,84.0,99.15584415584415,99.02597402597402,99.07042253521126,95.625,92.25,40.0,99.11688311688312
